,0,0,0,1,0
84,Unity Developer,https://spb.hh.ru/vacancy/43831903?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
85,Native speaker english teacher,https://spb.hh.ru/vacancy/43762636?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
86,Помощник специалиста по раннему развитию,https://spb.hh.ru/vacancy/43680606?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
87,Младший воспитатель,https://spb.hh.ru/vacancy/43960456?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
88,Воспитатель/ Ассистент в частный детский сад (м. Полежаевская/Войковская/Сокол),https://spb.hh.ru/vacancy/42032039?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
89,Специалист по раннему развитию,https://spb.hh.ru/vacancy/43638198?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
90,Помощник воспитателя,https://spb.hh.ru/vacancy/43658902?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
91,Менеджер по работе с клиентами,https://spb.hh.ru/vacancy/43744330?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
92,Ассистент учителя начальных классов,https://spb.hh.ru/vacancy/43939605?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
93,Ассистент монтессори-педагога,https://spb.hh.ru/vacancy/43598409?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
94,Администратор,https://spb.hh.ru/vacancy/43903725?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
95,Музыкальный руководитель,https://spb.hh.ru/vacancy/43600261?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
96,Оператор call-центра (удаленно),https://spb.hh.ru/vacancy/43660275?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
97,Помощник воспитателя,https://spb.hh.ru/vacancy/43620793?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,руб.
98,Парикмахер-универсал (мужской мастер/барбер),https://spb.hh.ru/vacancy/43606820?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
99,Преподаватель английского языка,https://spb.hh.ru/vacancy/44344829?query=%D1%83%D1%87%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B8,,,"[None, None]"
